name,meaning,description
АПП,Амбулаторно-поликлиническая помощь,"Вид медицинской помощи, оказываемой больным на приеме в поликлинике (амбулатории) и при посещении больных медицинским работником на дому"
ВИМИС,Вертикально-интегрированная медицинская информационная система,"Создается в дополнение к региональным МИС и ЕГИСЗ, предназначена для оперативного ведения пациентов по следующим профилям: онкология, акушерство и неонатология, сердечно-сосудистые заболевания, профилактическая медицина"
ИЭМК,Интегрированная электронная медицинская карта,"Совокупность электронных персональных медицинских записей (ЭПМЗ), относящихся к одному человеку, собираемых и используемых несколькими медицинскими организациями"
КЛАДР,Классификатор адресов Российской Федерации,"Объектами классификации являются отдельные элементы почтовых адресов: регионы, районы, города, поселки городского типа, сельские населенные пункты, улицы, дома и квартиры"
МКАБ,Медицинская карта амбулаторного больного,"Cущность в Программе, которая соответствует утвержденной форме №025/у"
МКСБ,Медицинская карта стационарного больного,"Cущность в Программе, которая соответствует утвержденной форме №003/у"
МСЭ,Медико-социальная экспертиза,"Исследование, проводимое специальной комиссией, по результатам которого выносится решение о признании гражданина инвалидом и установлении группы инвалидности"
МСР,Медико-социальная реабилитация,"Комплекс медицинских мер, направленных на преодоление ограничений жизнедеятельности человека со сложившимися, стойкими, часто необратимыми, патологическими изменениями, нарушениями функций органов и систем."
МУ,Медицинские услуги,"Значения, созданные в ТАПе на вкладке ""Мед. записи"", подвкладке ""Услуги"", с помощью которых определяются объемы проведенных работ у законченных случаев"
НСИ,Нормативно-справочная информация,"Ведение и поддержка различных справочников, которые обеспечивают ввод данных в информационном пространстве, в котором ведется работа"
ОКАТО,Общероссийский классификатор объектов административно-территориального деления,Код позволяет точно определить административно-территориальную единицу к которой относится тот или иной объект
РЭМД,Регистр электронных медицинских документов,"Подсистема ЕГИСЗ для автоматизации медицинского документооборота в электронном виде, которая позволяет ускорить и упростить обмен медицинскими документами между МО"
СМС,Структурированные медицинские сведения,Совокупность медицинской информации в отношении пациента в рамках информационного взаимодействия ВИМИС
СЭМД,Структурированный электронный медицинский документ,"Электронный документ, с помощью которого осуществляется передача ЭПМЗ из ЭМК конкретной медицинской организации в ИЭМК"
ТАП,Талон амбулаторного пациента,"Сущность в Программе, которая соответствует утвержденной форме Ф025-12/У-ВР"
ТАП (для АПП),Законченный случай,"ТАПы, у которых установлен флажок ""Закрыть талон"", или МКСБ (для стационаров), для которой проведена процедура выписки из ЛПУ"
УЕТ,Условные единицы трудоемкости,"Единица измерения, используемая для определения выполненных объемов работ у врачей-стоматологов"
ФИАС,Федеральная информационная адресная система,"Обеспечивает формирование, ведение и использование содержащихся в государственном адресном реестре сведений об адресах"
ЭПМЗ,Электронная персональная медицинская запись,"Медицинские записи в стационаре или  поликлинике, которые вводятся через шаблоны МИС"
