question,chunk_id
Какие данные в МКАБ пациента должны быть заполнены для успешного формирования СЭМД «Медицинское заключение по результатам предварительного (периодического) медицинского осмотра (обследования)»?,655
Что происходит при снятии флажка у блока «Слуховой паспорт» в шаблоне осмотра отоларинголога и как вводятся результаты исследований?,115
Что открывается пользователю при работе с медицинскими записями после выбора соответствующего действия?,26
"Что нужно сделать после заполнения формы с результатами медосмотра, чтобы СЭМД был подписан и отправлен в РЭМД?",760
Как оформить перевод пациента в реанимацию и как закрыть реанимационный период в МКСБ?,282
Как в модуле электронного родового сертификата перейти к отчётам и сформировать файл отчёта за период?,251
При каких условиях можно добавить сведения о посещении в ЭРС и какие ограничения действуют для полей «Срок беременности» и «Дата следующего посещения»?,229
Какие требования предъявляются к датам оказания услуги в ТАП и к порядку отражения первичного и повторного приёма?,143
"Как распечатать водительскую справку после того, как карта мероприятий подписана и стала недоступна для редактирования?",755
Где просматривать статистику по открытым и закрытым талонам амбулаторного пациента и какие фильтры при этом доступны?,105
"Как открепить прикреплённый файл, в каких форматах доступна печать документа и как распечатать справку «Медицинское заключение»?",693
"Что такое карта мероприятий, как с ней работать и что оформляется на заключительном мероприятии у терапевта или врача общей практики?",759
"Как сформировать, подписать и отправить в РЭМД СЭМД «Медицинское заключение о допуске к выполнению работ на высоте» (редакция 1)?",559
Какой структурированный электронный медицинский документ можно сформировать и отправить в отчётных формах по иммунопрофилактике в описанном блоке?,90
Какие системные настройки в разделе администрирования должен проверить или установить администратор перед работой с рецептами?,605
"Как оформить электронное свидетельство о рождении (галочки по пунктам СР), подтянуть данные из МКАБ и что делать со «старым» или ручным адресом при регистрации?",433
Куда попадает информация после записи пациента на приём и как вернуться в шаблон осмотра врача 2.0?,33
Как в шаблоне №200 МЗ добавить в медицинскую запись результаты ранее проведённых исследований?,31
Какая информация заполняется на вкладке «Дополнительная информация» листка нетрудоспособности в части освидетельствования в бюро МСЭ?,96
"Что необходимо сделать, чтобы открыть и сохранить карту беременной, и как затем распечатать нужную форму?",224
Что отображается при нажатии на область с именем пользователя в правом верхнем углу экрана модуля родовых сертификатов?,239
Как проставляется дата в отчёте ведомости №39 и что учитывается в графе 2 «всего» по посещениям?,518
Какие действия на нижней панели доступны после заполнения направления на санаторно-курортное лечение и чем отличаются «Сохранить» и «Подписать и отправить»?,617
Как перенести в текущую медицинскую запись данные из предыдущей записи того же или предыдущего случая лечения в шаблоне 2.0?,28
При каких условиях по основному диагнозу и статусу направления можно сформировать СЭМД «Протокол инструментального исследования» и как отправить его через «Печать/ЭМД»?,575
"Как заполнить обязательные поля «Телефон» и «E-mail», если представитель отказывается сообщать номер или электронную почту?",204
Какие поля описываются на вкладке регистрации поступления тела в патолого-анатомическое отделение?,734
Где можно ознакомиться с обязательными требованиями и порядком формирования СЭМД медицинского заключения по результатам медосмотра работника для подсистемы ЭЛМК?,666
Какие условия по стадированию ЗНО и медицинским записям должны быть выполнены перед формированием и отправкой СЭМД «Протокол на случай выявления у больного запущенной формы ЗНО»?,719
Как из МКСБ или случая лечения перейти к решению врачебной комиссии и сформировать СЭМД «Выписка из протокола врачебной комиссии»?,430
"Какая роль нужна для оформления родового сертификата, как создать договор со СФР и с какой недели беременности выдаётся электронный родовой сертификат?",226
Как через журнал направлений внести результаты исследования с помощью шаблона «Протокол инструментального исследования» и отправить его в региональное хранилище?,460
Что требуется выполнить прежде чем начать работу с выпиской льготных и коммерческих рецептов?,604
Как в стационаре создать направление на исследования и чем отличается сохранение черновика от подписания направления?,285
Как формируются поля «Номер карты» и «Дата карты» при работе с картой профилактических осмотров (ПФО)?,829
Как врачу в личном кабинете открыть карту медицинских обследований и при каком проценте выполнения комиссии терапевт может дать заключение по диспансеризации?,7
Как получить печатную форму медицинской справки о состоянии здоровья ребёнка для организации отдыха детей?,778
Что происходит после заполнения карты ПФО при нажатии «Предварительный просмотр» и какие дальнейшие действия с документом доступны после подписания?,826
Как в синей версии МКАБ добавить участки прикрепления пациента?,164
Какие признаки обязательно выставить для формирования СЭМД талона №2 и при каких значениях поля «Категория льготы» становится доступен признак «Направлен к месту лечения»?,715
Какими способами можно оформить согласие пациента при госпитализации и как добавить согласие через раздел «Согласия»?,349
Как начать редактирование персональных данных пациента и сколько основных подразделов доступно при редактировании?,160
Кто и при каких условиях может заполнять раздел «Степени и факторы риска» в карте беременной и как связаны между собой анкеты шкалы Радзинского?,221
При каком условии относительно ТАП доступно формирование СЭМД и как отправить в РЭМД эпикриз по законченному амбулаторному случаю?,782
"Как в блоке «Поступление» меняется перечень обязательных полей в зависимости от типа госпитализации (планово, экстренно, неотложно)?",345
Из каких вкладок состоит окно «Листок нетрудоспособности» и для чего используется кнопка получения пула номеров из ФСС при оформлении первичного ЛН?,95
Где в системе находятся личные настройки пользователя и как добавить или сбросить настройку до значения по умолчанию для врача?,390
Какие сведения отображаются во вкладке листков нетрудоспособности в ТАП/МКСБ и как создать новый электронный листок нетрудоспособности?,100
Какие коды медицинских шаблонов АВ перечислены в инструкции и где в интерфейсе их искать?,368
"Что делать, если при сохранении МКСБ появляется сообщение об ошибке «Проверьте правильность заполнения формы»?",353
